longitude,latitude
-73.9399,40.7457
-73.9393,40.7456
-73.9377,40.7452
-73.9376,40.7433
-73.938,40.7415
-73.9382,40.7405
-73.9386,40.7384
-73.9382,40.738
-73.9375,40.7369
-73.9371,40.7363
-73.9369,40.7356
-73.9376,40.7348
-73.938,40.7344
-73.9387,40.734
-73.9428,40.7327
-73.9437,40.7324
-73.9429,40.7277
-73.9426,40.7258
-73.9422,40.7233
-73.942,40.7219
-73.9428,40.7212
-73.9437,40.7206
-73.9444,40.7203
-73.9456,40.7196
-73.9468,40.7189
-73.9472,40.7186
-73.9477,40.7185
-73.9483,40.7179
-73.9491,40.7177
-73.9495,40.7171
-73.9512,40.716
-73.9518,40.7155
-73.9527,40.7147
-73.9533,40.7142
-73.9547,40.7141
-73.9551,40.7129
-73.9555,40.7123
-73.9558,40.7118
-73.9562,40.7111
-73.9563,40.7107
-73.9567,40.7096
-73.9575,40.7091
-73.9579,40.7084
-73.9582,40.708
-73.9576,40.7066
-73.9586,40.7068
-73.9595,40.7053
-73.96,40.704
-73.9613,40.7019
-73.9609,40.7011
-73.9605,40.7008
-73.9599,40.7002
-73.9592,40.6997
-73.9589,40.6987
-73.9584,40.6966
-73.958,40.6944
-73.9577,40.6928
-73.9573,40.6907
-73.9572,40.6892
-73.9571,40.6885
-73.957,40.6877
-73.9568,40.687
-73.9567,40.6863
-73.9565,40.6855
-73.9564,40.6848
-73.9563,40.6841
-73.9561,40.6833
-73.956,40.6826
-73.9558,40.6819
-73.9557,40.6811
-73.9555,40.6802
-73.9553,40.6793
-73.9552,40.6783
-73.9555,40.6776
-73.9557,40.6768
-73.9561,40.6759
-73.9564,40.675
-73.9567,40.6742
-73.957,40.6733
-73.9573,40.6724
-73.9577,40.6715
-73.9579,40.6708
-73.9583,40.6698
-73.9586,40.6689
-73.9589,40.668
-73.9592,40.6671
-73.9596,40.6663
-73.9603,40.6641
-73.9606,40.6633
-73.9609,40.6625
-73.9608,40.6617
-73.9614,40.6617
-73.9606,40.6606
-73.9606,40.66
-73.9606,40.6595
-73.9605,40.6588
-73.9604,40.6581
-73.9602,40.6572
-73.9601,40.6565
-73.9599,40.6557
-73.9597,40.6548
-73.9595,40.6536
-73.9593,40.6529
-73.9592,40.6521
-73.9589,40.6512
-73.9587,40.6504
-73.9583,40.6485
-73.9581,40.6475
-73.9581,40.6465
-73.958,40.6451
-73.958,40.6446
-73.9579,40.6441
-73.9576,40.6427
-73.9571,40.642
-73.9553,40.6405
-73.9548,40.6396
-73.9543,40.6391
-73.9536,40.6384
-73.9528,40.6377
-73.952,40.6369
-73.9509,40.6359
-73.9499,40.635
-73.9494,40.6345
-73.9488,40.6339
-73.9476,40.6329
-73.9475,40.6316
-73.9474,40.6305
-73.9473,40.6292
-73.9469,40.6268
-73.9464,40.6244
-73.946,40.622
-73.9455,40.6196
-73.9451,40.6172
-73.9447,40.6162
-73.9446,40.6148
-73.9443,40.6134
-73.9442,40.6127
-73.9441,40.612
-73.9438,40.6107
-73.9434,40.6104
-73.9435,40.6092
-73.9423,40.6082
-73.9415,40.6076
-73.9412,40.6072
-73.9405,40.6066
-73.94,40.6062
-73.9392,40.6055
-73.9377,40.6042
-73.9366,40.6031
-73.9353,40.6015
-73.9342,40.6006
-73.9332,40.6001
-73.9329,40.5998
-73.9317,40.5983
-73.9299,40.5971
-73.9302,40.5967
